href,comments,timestamp,ig_user
,"Maravilhosa, Greyce! ❤️",1626475666,@greyceamorim
,A cidade mais gostosaaaaa❤️,1626475234,@adeisaguimaraes
,Tem pix?,1626374777,@csuwaki
,"Linda, juzinha",1626368368,@jutorres19_
,Poderosa,1626361874,@inaa_morais
,Que triste 😢😢😢😢😢 pagar por nos proteger!,1626236977,@diariodonordeste
,"Meu passa tempo predileto é ver o delegado Bruno em ação, fazendo justiça e amo ainda mais quando ele dá uns gritoes com os agressores de merda. Ainda bem que existe você, del.Bruno. gratidão! ❤️🙌",1625950872,@del.brunolima
,Perfeito!!!!! Assino embaixo,1625949797,@del.brunolima
,Que fotão do meu país Triunfo,1625841449,@suajanela
,Meu país ❤️,1625783150,@taminascimento89
,😍,1625758482,@resilia.br
,Deusa,1625610576,@taminascimento89
,Patrão ❤️,1625317536,@italogiullian
,Que fotão heinnnnn😍,1625150859,@beatrizgtorress
,Princesa da minha vida😍,1624829011,@beatrizgtorress
,❤️❤️❤️❤️,1624780261,@faculdadersa
,❤️❤️❤️❤️,1624780235,@faculdadersa
,Pressão mundial,1623635733,@edilanecsr
,Pense num casal,1623635725,@edilanecsr
,Coisas lindasssss,1623635718,@edilanecsr
,"Deusa da geografia, que ministra uma aula como ninguém!!!!!!",1623458409,@adeisaguimaraes
,Que isso hein,1623436228,@annavih_
,KA HO OT ❤️❤️❤️❤️❤️❤️❤️❤️,1623350669,@resilia.br
,Princeso de tia ❤️,1622923638,@gabriel.saa_
,Está funcionando ?,1622863659,@encontrodasaguas.triunfo
,@anacarolinade848,1622753778,@deusogrego
,#vivaoSUS e #forabolsonaro,1622575674,@adeisaguimaraes
,"Ironias a parte, parabéns, UFABC,  por contribuir tanto para com a sociedade e logo incentivos sejam oferecidos. Que a educação, ciência um dia receba a valorização que merece!",1622513293,@ufabc
,"Vamo cortar mais recursos ainda @jairmessiasbolsonaro, porque ainda tão conseguindo fazer balbúrdia",1622513208,@ufabc
,"Que vândalos, né, @jairmessiasbolsonaro ?",1622513178,@ufabc
,"Balbúrdia que chama né, @jairmessiasbolsonaro ?",1622513162,@ufabc
,Sensato❤️,1622497771,@gusta
,@___nataliao.gomes perdão 😂✨,1622474461,@prof.gilsinhobrandao
,@___nataliao.gomes já me desculpando pelo fora Bolsonaro. Se eu vejo alguém se vacinando o #forabolsonaro vem automaticamente,1622474453,@prof.gilsinhobrandao
,"👏👏👏 boaaaa, Mestre. Viva e SUS e #forabolsonaro 😂",1622474409,@prof.gilsinhobrandao
,Princesa❤️,1622419570,@_kabarros_
,😢😐😐😐,1622347417,@cachoeiradopingape
,😍😍😍😍,1620772902,@eupht
,😢,1620509979,@maribferrer
,Nunca vi uma imagem definir tanto e tanta coisaaaaaa😮,1620015571,@geografiaacademica
,Linda❤️❤️❤️❤️,1620009098,@bezerraelainee
,Lamentável😢,1619989877,@amoranimal_salgueiro
,😍😍😍,1619988689,@jutorres19_
,"Achei incrível e poético, mestre e eterno orientador",1619915914,@prof.gilsinhobrandao
,"Minhas amigas, todas me inspiram, cada uma da sua maneira❤️",1619813827,@resilia.br
,"CADE A ÁGUA NO RIACHINHO, EM SALGUEIRO ? QUE SERVIÇO DEPLORÁVEL. VOCES NAO IMAGEM O IMPACTO DA FALTA DE ÁGUA!!!!!!!",1619753266,@compesa_oficial
,"@dkgansey verdade, nesse sentido, é muito foda, espero que as pessoas não fiquem somente nas postagens dela e estudem mais e procurem ajuda médica antes de querer fazer do nada. Muito perigoso",1619709247,@exalteioficial
,"Gente mal informada é cansativo, viu... Jejum é totalmente natural e já já vários estudos que comprovam a eficácia",1619684744,@exalteioficial
,Ow coisa maravilhosa de se ver,1619456072,@millena.oliveira22
,"New season, plisssssss😢",1619327073,@scottgordonpatterson
,Loveeeeeeeeee,1619327048,@scottgordonpatterson
,Príncipe 🤴💙,1619142419,@__ch3ll__
,"E para as pessoas sem comorbidades entre esse intervalo, quando será?",1618935017,@prefeituradosalgueiro
,Incrível👏,1618881063,@duusabino
,Que incrível!!!!!!!! Ansiosaaa,1618872657,@duusabino
,Qual o perfil da mãe ?,1618842551,@_vida_demae
,Incrível demaisss👏👏👏,1618802352,@jay_ferri
,Inveja demaisssss de vocês,1618783678,@laisbrandaon
,"Os encontros serão gravados? Queria participar, porém, tenho aula a noite 😢",1618029396,@instalatasalgueiro
,👏👏,1617672574,@lapegeouva
,@italogiullian demais 😂,1617593662,@opoeteiro
,"Amo quando vejo a reação indo na direção certa. O culpado é só o alecrim que é comprometido. Parabéns, moça",1617481894,@comuacin
,"Hahahahah o golpe tá aí, cai quem quer",1617310155,@drbrunojacob
,"Que tiro, hein, Dani",1617209120,@dradanielagoncalves
,Queee mulherr,1616891571,@dii_lua
,😍😍😍😍,1616793062,@bruhsouzaa011
,👏👏,1616464609,@resilia.br
,"Maravilhosa quando pagar por isso! E que pague! Tudo que vai, volta, bb",1616429183,@del.brunolima
,Deusaaaaaaa,1616380488,@_eduarda_jsilva
,Maravilhaaaa,1616380483,@_eduarda_jsilva
,Gataaaaaaa,1616380479,@_eduarda_jsilva
,Amo um insta ❤️,1616361472,@rafaelamoraisa
,13 ♀️,1616342152,@ninadhora
,"@rafaelamoraisa muito obrigada pela dica ❤️ vou fazer isso sempre agora, vai me ajudar demaisss",1616330726,@rafaelamoraisa
,"@___nataliao.gomes busco sempre não ficar chateada com a pessoa, interpretando que ela não compreende o quanto é desnecessário, as vezes consigo me blindar outras vezes não",1616291750,@rafaelamoraisa
,"Anda ocorrendo muito comigo. Só quem passa sabe o quanto, por vezes, é incomodo e gerador de gatilhos...",1616291668,@rafaelamoraisa
,"Quando eu fizer vou adicionar brócolis, como a @dedaaladim fez",1616127460,@recalixto
,✨❤️,1615596801,@mrafaelalopes
,O melhor👏👏,1615308252,@neurondsai
,Mandando energias positivas ❤️✨,1615266547,@marianasct_
,Poderosa,1614873875,@inaa_morais
,Linda meu amor,1614459744,@cida.vieira.58511
,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,1614181932,@uninterouricuri
,N daaaaaaa,1613862749,@lucas_lira
,Vai matar a gente do coraçãooooooooooo,1613691596,@lucas_lira
,O momento mais aguardadoooooo,1613691506,@sunaikabruna
,Meu coração quase para!!!!!!!!!!!,1613688962,@sunaikabruna
,"Bucho cheio, mão lavada, pé na estrada",1613251821,@razoesparaacreditar
,"@alanoc13 precisamos ensina-los, sobretudo, sobre amor, sobre empatia...empatia com todos os seres. Muito triste e revoltante!",1613231806,@del.brunolima
,@del.brunolima que sonhooooo!,1613231717,@del.brunolima
,Lindo demais,1613190121,@deusogrego
,"Gente, tenho coração pra isso n",1613190119,@deusogrego
,Minha mãe. Ela é a pessoa mais forte do world ❤️,1613111881,@todasfridasoficial
,Deusa ❤️ amooo,1613091668,@eu_ensino
,😍😍😍😍,1613087518,@leticiafgomes
,👏👏👏,1613062635,@triptaminaworld
,"Aí gente, tão bom ver mulheres voando ❤️",1612839931,@men1naspics
,👏👏👏👏👏👏👏,1612829818,@williamproducoes
,.,1612537905,@elasfeministas
,"É aquela história: o golpe tá ai, CAI QUEM QUERRRR! papel de homem é mais bonito, viu ?",1612484373,@raphaellalencar
,"Parabéns, coisas mais lindas ❤️❤️❤️❤️❤️❤️❤️ vocês são maravilhosas demais! Muito sucesso, amor, saúde, paz e luzzzz😍",1612321992,@beatrizgtorress
,"Linda sempre, vivi...",1612300763,@viviane.olvr
,Sinto-me transportada para o momento👏👏,1612223063,@fotografiarafaelalopes
,Que obra de arte!!! Sinto todo o êxtase daqui.😍,1612223042,@fotografiarafaelalopes
,"Eu mesma, @___nataliao.gomes 😂😂💗",1612131788,@resilia.br
,Salgueiro-PE,1612023108,@del.brunolima
,Nossa,1611616753,@leticia_s_barros
,"@italogiullian mitou nessa resposta, n esperava, pq suas comidas são todas ""normais"" 😂😂😂",1611374089,@razoesparaacreditar
,Macarrão com feijão é um dos melhores pratos. Sua vez @italogiullian,1611372022,@razoesparaacreditar
,Sem definição um cara desse!!!!,1611261391,@del.brunolima
,"Que trabalho incrível e tão necessário. Multiplica, senhor!!!",1610984376,@del.brunolima
,Viva a vida real👏,1610830430,@tiapenhaft
,Tenho a vontade de fazer o mesmo...,1610830420,@tiapenhaft
,Assim que eles devem ser tratados... Nada menos que isso ❤️,1610818690,@razoesparaacreditar
,"Mulherão do caralho, você ❤️♀️",1610743182,@mayracardi
,"Ansiosa pelo resultado finallll. Tenham pena do nosso coraçãozinho, @resilia.br  kkkkkkkkkkk aaaaaa",1610509956,@resilia.br
,"Tanta beleza. Nas roupas, nas modelos. Da gosto de ver",1610504171,@sashaayeska
,Um nenê muito lindo,1610458820,@gab.olivers
,"Eu conto ou outro graduando quer ter a honra ? Acho que não ne, na minha fez ninguém falou também. Boa sorte, seres!",1610395204,@escoladadepressao
,Essa é a poesia acústica mais lindaaaa,1610246011,@reelsderap
,"Ah, Bia, você é incrível! 💓",1610245223,@desaguarpsicologia
,Ebaaaaa,1610239367,@mapbiomasbrasil
,Quero tanto q nem sei explicar o quanto quero,1610152425,@misericordiaprecisodeummeme
,Coisa mais lindaaaaaa,1610146059,@psi_mente_transformadora
,👏👏,1610139050,@resilia.br
,"Vish, tantas coisas, que se uniram e me mostraram que ser feminista é minha cura!",1610119190,@todasfridasoficial
,Maravilhoso!,1610030740,@rladiesnatal
,@rladiesnatal querooooooooo,1610030709,@rladiesnatal
,@italogiullian bem real,1610029100,@frasesinstan
,@italogiullian ❤️❤️❤️,1610029073,@frasesinstan
,Post incrível e necessário 🌟,1609986390,@epstemia
,😻 um gatinho,1609866856,@arthurruhtra_
,Que rapaizãoooo,1609866840,@arthurruhtra_
,Coisa linda,1609866833,@arthurruhtra_
,Coisa mais linda de se ver. Eis uma das grandes belezas da vida ❤️,1609806185,@samanthaadantas
,Qual o insta dela ?,1609792659,@razoesparaacreditar
,@samyracoutrim,1609712154,@feminista.uma
,@ju.faith apoiada demais,1609035991,@disseemedisse
,aaaaa 😍😍😍,1608652261,@samanthaadantas
,@anacarolinade848 queria ter unhaaaaa,1608301539,@lenisesca
,Maravilhosa e inteligente de tia ❤️,1608251321,@ingrid_pereira_ofc
,Lindaaaaaaa,1608251288,@ingrid_pereira_ofc
,Isso é uma falta de humanidade!!!!,1608225443,@gabiarandela
,Conseguirá seu filho de volta,1608225429,@gabiarandela
,Anjos,1608177400,@razoesparaacreditar
,"Sensato ❤️❤️ só vem vacina, o bracinho chega chora",1608158307,@paulojubilut
,😞,1608014964,@roupanova
,@rangelseabra 👏👏👏👏,1607618699,@ferminismo
,Deusaaaaa,1606955555,@nivyamarllem
,"Coragem, porque noção não tem !!!",1606559652,@del.brunolima
,Maravilhosaa demais,1606255883,@sunaikabruna
,👏👏👏👏👏❤️,1606164460,@faculdadersa
,😍😍😍😍,1606078041,@joaovictorcfr
,Princesas do meu coração,1605886146,@__starangel
,@leticiabayma marquem @del.brunolima,1605630033,@revistaceara
,@del.brunolima,1605630008,@revistaceara
,"Marquem o @del.brunolima para que ele veja. Isso não é violência física, mas de certo está maltratando esse animal. Todo esse movimento deve ter causado um grande estresse nele, sem contar nas consequência do álcool para seu organismo!!!!!",1605630005,@revistaceara
,@del.brunolima,1605629930,@revistaceara
,@del.brunolima,1605629924,@revistaceara
,@del.brunolima,1605629917,@revistaceara
,@del.brunolima,1605629910,@revistaceara
,"Horrível de se ver. Vejo tanta gente protegendo a  não objetificação dos animais, mas parece que é só redes sociais que rola. Presencialmente é daí pra baixo!!!! Inadmissível!!! @del.brunolima",1605629905,@revistaceara
,Tu é bixo soltooo.👏👏👏,1605563225,@olgazevedo
,@whinderssonnunes,1604709209,@fla.viocolaco
,@geraldobalanca,1604709173,@fla.viocolaco
,@luizbacci,1604709161,@fla.viocolaco
,@edilanecsr 💗,1604536880,@razoesparaacreditar
,Nojo! Desprezo!,1604418265,@ferminismo
,"Empoderamento de homem que vai continuar alegando que a roupa que a mulher está vestida que é responsável pelo abuso, né ?",1604418251,@ferminismo
,Empoderamento dos abusadores que chama né ?,1604418209,@ferminismo
,@umakeup.pdf @fotografiarafaelalopes @sensualesalgueiro @fulodepao  @adeisaguimaraes @arraseane.store @bela_marykay1 💗💗💗,1604382325,@todasfridasoficial
,@mayracardi mulherão da porrannnnn💓,1604353900,@tatawerneck
,Que fitnesss,1604185001,@edilanecsr
,Lindooooooooooooos 💗💗💗💗💗,1604184987,@edilanecsr
,Já ouvi as três,1603816399,@ferminismo
,Lindaaaa!!!!!!,1603755468,@thayse_olliveira20
,Valor ?,1603378974,@mariabonitasalgueiro1
,Valor ?,1603378963,@mariabonitasalgueiro1
,Coisa mais linda de se verrrrrr,1603339577,@samanthaadantas
,Tá fácil n viu,1603058982,@desargumentacao
,Querooo,1602678916,@kehserfit
,"Isso a globo não mostraaaa, mas a Rafa sim!!!!👏💓",1602636785,@rafaelamoraisa
,A fisioterapia tem sorte de ter você!!!! Vai ser um profissional surreal de competente. Parabéns!!!!,1602597019,@duusabino
,Tu é maravilhosa,1602552784,@mrafaelalopes
,Parabéns princesa lindaaaaaaaaaaaa,1602552755,@mrafaelalopes
,Dançarina quando criancinha kkkkk,1602531513,@uninterouricuri
,@salveomundoazul 💙😂😂😂😂,1602469803,@salveomundoazul
,Devolveeee pra água,1602469447,@salveomundoazul
,Maravilhosa demaissssssss,1602155311,@gab.olivers
,Muito modelo,1601813305,@_eduarda_jsilva
,"Linda demais, demaissssssss💗💗",1601813266,@_eduarda_jsilva
,Deusa,1601813250,@_eduarda_jsilva
,Meus amoressssss,1601666522,@__starangel
,👏👏,1601596320,@pdv_g
,"@deborahgullo_ apoiada, não consegui adicionar ainda também",1601585987,@inep_oficial
,Amo vocês,1601507673,@sunaikabruna
,Af esse casal,1601507669,@sunaikabruna
,Que deusa maravilhosa essa psicóloga,1601431221,@desaguarpsicologia
,Lindaaaaaaaaaaaa,1601337810,@_eduarda_jsilva
,"Pois volteeeee e dessa vez venha em minha casa conversar comigo. Obrigada, de nada💗",1601313914,@_eduarda_jsilva
,"@_eduarda_jsilva afff tava pensando em tu esses dias, que sumiu. Que saudades de ao menos lhe ver na ruaaaa",1601313774,@_eduarda_jsilva
,Como você tá linda e maravilhosaaaaaaa,1601313718,@_eduarda_jsilva
,👏👏👏👏👏,1600652347,@pdv_l
,Amo um congresso ❤️❤️❤️❤️❤️,1600652342,@pdv_l
,Kkkkkkk,1600632243,@pdv_l
,Prorrogação cai bemmm,1600632241,@pdv_l
,Joga demais ❤️,1600528828,@virtex_e.sports
,👏👏👏,1600401779,@virtex_e.sports
,"@goncalves.daniela mundinho pequeno. Duas mulheres maravilhosas na enfermagem❤️❤️ o mundo agradece, viu",1600387507,@luziarodrigueses
,@goncalves.daniela coisa linda,1600387463,@luziarodrigueses
,@goncalves.daniela fale de beleza n,1600387449,@luziarodrigueses
,"É minha prima maravilhosa, daniii",1600387428,@luziarodrigueses
,A sociedade machista não tá pronta pra esse olhar que o Felipe lança e nem estará nem tão cedo. Esse machismo estrutural doentiooooo. Que nojo!!!!!!!,1599928113,@comthays
,"Somente verdades. Aqui não está sendo questionado traição ou não traição, mas sim o machismo nas entrelinhas e nos ataques ao Whindersson. Mas para o homem, a pauta vai ser outra. Sociedade adoecida.",1599928045,@comthays
,"Olhe, difícil, viu ? Queria muito ter errrado minha aposta sobre Bolsonaro e esse outro cara aí. Queria muito. Pena que não aconteceu...",1599863659,@midianinja
,"Ela merece todos os pedidos do perdão e todas as energias para que se cure. Que você agora tenha aprendido o real valor de uma mulher. Nenhuma merece nenhum tipo de traição ou de atitudes que lhe façam se sentir pequenas. 🙌 Te desejo luz e sucesso, sabedoria. Para minha querida mayra, desejo cura e amor ♀️❤️",1599351956,@arthuraguiar
,@italogiullian,1599227872,@nortonmello
,🤦,1599169715,@rafaelamoraisa
,Eu amo,1598974162,@euesementinha
,😐,1598466584,@mapbiomasbrasil
,Esse de kiwi tem surtido um efeito surreal no meu rosto,1598235360,@miamakeoficial
,Tão gostoso que n da nem pra expressar em palavras,1598223944,@soraalimentos
,💓💓,1598220112,@bela_marykay1
,Amo,1598041551,@soraalimentos
