Profile Name,Displayed Name,Action,Section,Utc Timestamp,hour,year,month,day,day_shifts
Natália,"Gilmore Girls: Tal Mãe, Tal Filha",play,suggestion_title_results,2021-07-05 11:11:16,1900-01-01 11:11:16,2021,July,5,Manhão
Natália,"Gilmore Girls: Tal Mãe, Tal Filha",play,video_info,2021-07-05 09:25:49,1900-01-01 09:25:49,2021,July,5,Manhão
Natália,"Gilmore Girls: Tal Mãe, Tal Filha",play,suggestion_title_results,2021-07-05 09:25:45,1900-01-01 09:25:45,2021,July,5,Manhão
Natália,"Gilmore Girls: Tal Mãe, Tal Filha",view_video_info,suggestion_title_results,2021-07-05 09:25:40,1900-01-01 09:25:40,2021,July,5,Manhão
Natália,Brooklyn Nine-Nine,play,suggestion_title_results,2021-06-08 06:53:03,1900-01-01 06:53:03,2021,June,8,Manhão
Natália,Brooklyn Nine-Nine,view_video_info,suggestion_title_results,2021-06-08 06:52:59,1900-01-01 06:52:59,2021,June,8,Manhão
Natália,,play,suggestion_title_results,2021-06-07 02:30:35,1900-01-01 02:30:35,2021,June,7,Madrugada
Natália,Gilmore Girls: Um Ano para Recordar,play,suggestion_title_results,2021-06-07 02:09:00,1900-01-01 02:09:00,2021,June,7,Madrugada
Natália,Gilmore Girls: Um Ano para Recordar,play,suggestion_title_results,2021-06-07 02:08:59,1900-01-01 02:08:59,2021,June,7,Madrugada
Natália,,play,suggestion_title_results,2021-06-07 02:08:54,1900-01-01 02:08:54,2021,June,7,Madrugada
Natália,,view_video_info,popularSearches,2021-06-07 02:08:51,1900-01-01 02:08:51,2021,June,7,Madrugada
Natália,Gilmore Girls: Um Ano para Recordar,view_video_info,suggestion_title_results,2021-06-06 19:58:21,1900-01-01 19:58:21,2021,June,6,Noite
Natália,"Gilmore Girls: Tal Mãe, Tal Filha",view_video_info,suggestion_title_results,2021-06-06 19:58:19,1900-01-01 19:58:19,2021,June,6,Noite
Natália,The Bold Type,play,popularSearches,2021-06-06 19:57:17,1900-01-01 19:57:17,2021,June,6,Noite
Natália,,play,popularSearches,2021-06-06 19:56:54,1900-01-01 19:56:54,2021,June,6,Noite
Natália,The Bold Type,view_video_info,popularSearches,2021-06-06 19:56:49,1900-01-01 19:56:49,2021,June,6,Noite
Natália,,play,suggestion_title_results,2021-06-02 18:50:51,1900-01-01 18:50:51,2021,June,2,Tarde
Natália,Pose,view_video_info,suggestion_title_results,2021-06-02 18:48:35,1900-01-01 18:48:35,2021,June,2,Tarde
Natália,Sexify,view_video_info,popularSearches,2021-06-02 00:40:16,1900-01-01 00:40:16,2021,June,2,Madrugada
Natália,Lucifer,play,title_results,2021-05-29 16:03:07,1900-01-01 16:03:07,2021,May,29,Tarde
Natália,,play,suggestion_title_results,2021-05-28 02:10:08,1900-01-01 02:10:08,2021,May,28,Madrugada
Natália,Brooklyn Nine-Nine,view_video_info,suggestion_title_results,2021-05-28 02:10:05,1900-01-01 02:10:05,2021,May,28,Madrugada
Natália,,play,suggestion_title_results,2021-05-28 02:09:52,1900-01-01 02:09:52,2021,May,28,Madrugada
Natália,Sexify,view_video_info,suggestion_title_results,2021-05-28 02:09:44,1900-01-01 02:09:44,2021,May,28,Madrugada
Natália,,play,suggestion_title_results,2021-05-28 02:09:32,1900-01-01 02:09:32,2021,May,28,Madrugada
Natália,Sexify,view_video_info,suggestion_title_results,2021-05-28 02:09:29,1900-01-01 02:09:29,2021,May,28,Madrugada
Natália,,play,suggestion_title_results,2021-05-28 02:09:15,1900-01-01 02:09:15,2021,May,28,Madrugada
Natália,Brooklyn Nine-Nine,view_video_info,suggestion_title_results,2021-05-28 02:09:10,1900-01-01 02:09:10,2021,May,28,Madrugada
Natália,A Era dos Dados,view_video_info,suggestion_title_results,2021-05-26 04:13:16,1900-01-01 04:13:16,2021,May,26,Madrugada
Natália,,play,popularSearches,2021-05-26 04:13:10,1900-01-01 04:13:10,2021,May,26,Madrugada
Natália,,play,suggestion_title_results,2021-05-23 07:27:27,1900-01-01 07:27:27,2021,May,23,Manhão
Natália,Bad Boys e Bilionários: Índia,view_video_info,suggestion_title_results,2021-05-23 07:27:20,1900-01-01 07:27:20,2021,May,23,Manhão
Natália,,play,suggestion_title_results,2021-05-23 07:27:08,1900-01-01 07:27:08,2021,May,23,Manhão
Natália,Billions,view_video_info,suggestion_title_results,2021-05-23 07:27:07,1900-01-01 07:27:07,2021,May,23,Manhão
